,roi_id,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa-bz,H3,M1,MU,NAT,NMDA,VAChT,mGluR5,vox_id,pls_x_score_0
12440,11.0,0.124254055,0.9482978,-0.76705134,-0.7473533,0.18013898,-0.50446993,0.44865194,-0.7417407,-0.0016105127,-0.44545197,-0.22744094,0.69721574,0.0029004372,-0.72082865,0.44593006,-0.09537436,0.6358464,0.2508295,0.14025025,12440,6.111349200893308
12441,12.0,0.1219526,1.1041911,-0.81242716,-0.7961787,0.43683234,-0.5454243,0.7976861,-0.2516548,-0.09799026,-0.40598774,-0.34929645,0.39024612,0.51794523,-0.42764294,0.43919975,0.03748086,0.56731313,0.19765186,0.100970626,12441,5.17405217616569
12442,12.0,-0.053474918,1.2443612,-0.8195771,-0.8031453,0.533231,-0.5592105,1.0876368,0.2551301,-0.33935952,-0.3700081,-0.5964195,0.42520875,0.8723493,-0.10164067,0.38516748,0.3332918,0.67554283,0.065160595,0.030609408,12442,4.745086269937184
12443,12.0,-0.66926056,0.5277094,-0.46154824,-0.51453114,0.25372103,-0.7429246,1.107679,0.53528404,-1.0459439,-0.3901691,-0.7095013,0.6989183,0.88050395,0.083528265,0.10108196,0.34008655,0.3132552,-0.20285894,-0.16896212,12443,3.5389568351976273
12445,106.0,2.043725,-0.7617412,0.2778209,0.3427588,-0.13574706,0.43980002,-1.3379385,1.4279727,0.15142071,0.6081957,0.73668015,0.4065486,1.1022776,-0.30358914,0.47194532,-0.78923583,-0.8641461,-0.22990154,-0.21002214,12445,-10.067051312973973
12446,106.0,2.3585224,-0.041794717,0.46034586,0.51702935,0.38151473,0.59956944,-0.9557065,1.6009054,0.6100345,0.6849922,0.81661725,0.48379013,1.548838,-0.0036713963,0.8698932,-0.054757196,0.4190968,-0.004521514,0.5023313,12446,-7.475049157729082
12447,106.0,2.5503159,0.56471765,-0.6411018,-0.6144288,0.89271796,0.33877733,-0.64828235,1.634741,0.87084764,0.6391647,0.93603563,0.40608957,1.8352119,0.39692366,1.189055,0.21145512,0.38397962,0.16316643,1.0735446,12447,-4.156229764817114
12450,108.0,1.3241152,0.49968827,0.36034203,0.67891234,1.2836057,1.0598695,-0.13994503,1.1267982,0.823678,0.41393417,1.0315702,0.11633206,1.2619588,0.75208837,1.1478856,0.028097518,0.8454157,0.5636466,1.3177475,12450,1.4650114952202884
12451,108.0,0.8609974,0.119679675,-0.40147674,-0.2553023,0.8906905,0.13222663,-0.15283878,0.56253386,0.19582976,0.24401286,1.0174352,-0.9473497,0.5013049,0.16785389,0.6748607,0.0044402145,-0.20445392,0.62444603,0.6949094,12451,0.8728962239201874
12456,73.0,0.13576165,0.9774994,-0.5465902,-0.55026805,0.17727563,-0.38531137,0.5192143,-0.8239571,-0.30491254,-0.3758316,-0.055868275,0.9945629,-0.23529747,-0.4718296,0.47913343,-0.101956494,0.72494125,0.50695693,0.19286174,12456,7.332202356577111
12462,106.0,2.0889883,-0.4103815,0.27209112,0.366446,-0.017633116,0.41224247,-1.2037163,1.3846604,0.41043374,0.55214804,0.5460977,-0.28925547,1.3288095,-0.13935946,0.49048927,-1.1329792,-0.80243695,-0.23588477,-0.06469459,12462,-9.17389158821594
12463,106.0,2.3224654,0.20534587,0.270618,0.34882274,0.48814127,0.52544034,-1.0351456,1.5788119,0.7719475,0.57205063,0.63090926,0.6574589,1.5740463,0.02851092,0.8885288,-0.2441105,0.078012176,0.008390526,0.7284203,12463,-5.99769388869711
12465,109.0,2.3792362,1.1172345,-0.83939356,-0.8068181,1.229094,0.15469989,-0.52050614,1.534946,1.0093561,0.4966067,0.82685304,0.43395612,1.4999677,0.7248145,1.4093044,0.9058713,-0.15939036,0.26451257,1.6663905,12465,0.6087225046188017
12467,108.0,1.078108,0.5445338,0.25533217,0.5910421,1.2441059,0.80765784,-0.111881375,1.0087175,0.62695783,0.33251727,0.93652314,-0.07747287,1.162791,0.5971248,1.0527233,0.583099,0.86783165,0.48799804,1.2244669,12467,2.9915217161785828
12468,79.0,0.49710077,0.8590434,-0.42725632,-0.4473772,-0.27893078,-0.11511005,-0.020309117,-1.5559275,0.4650449,-0.5473002,0.41888058,-1.0812496,-0.7441672,-0.75516266,0.61706257,-0.5182729,0.9116491,0.71547747,0.5856599,12468,4.770346324837
12471,67.0,-0.4178828,0.9257853,0.62127537,0.4065008,0.42457086,-0.32270616,1.2473049,0.35500702,-0.7558447,-0.35711354,-0.7177875,0.045701414,0.58236754,0.1345469,0.30885488,0.13674763,-1.621169,-0.02077946,-0.15733685,12471,3.2206970353990862
12472,112.0,1.8163855,-0.20449305,1.149439,1.3305426,0.12294881,0.50164986,-0.91190016,1.3584902,0.28596824,0.4796208,0.46226114,0.076833285,1.6831049,0.105877236,0.36776018,-1.5348194,-1.3864342,-0.14506431,-0.052808393,12472,-7.042231017663321
12473,109.0,1.9762136,0.39129838,0.68873286,0.8359542,0.58768654,0.52763796,-0.74152136,1.5182421,0.6899707,0.4523582,0.54950976,0.94250125,1.7283686,0.22567156,0.77198184,-0.7277393,-0.7149598,0.025081957,0.7274113,12473,-4.020743156263464
12474,109.0,2.0552328,1.0004833,-0.83194745,-0.8009385,0.99263215,0.09667641,-0.48402205,1.5774778,1.003475,0.46040526,0.69963557,0.72785825,1.5283171,0.4998841,1.1389811,0.21706198,-1.0270903,0.1167647,1.317245,12474,-0.5433444330349003
12477,108.0,0.6909404,0.58661234,0.7311654,1.2188426,1.2226318,1.0605562,0.035951212,0.9951127,0.43863934,0.23709023,0.8916801,0.57083267,1.0985942,0.6085261,1.0484369,0.80626065,0.62205297,0.5009684,1.138561,12477,4.349707940299388
12486,109.0,1.8404236,1.1232575,-0.5980484,-0.5307063,1.0647361,0.16376051,-0.20757031,1.5064088,0.78298986,0.42886144,0.60458857,0.86092216,1.4416225,0.7314949,0.9908699,-0.22064036,-1.4605118,0.09417096,1.1507152,12486,1.1892815906051895
12488,108.0,1.3834434,1.2835484,0.3576754,0.7573526,1.2992408,0.95504344,0.08018319,1.4024466,0.77638847,0.28256,0.782985,0.901697,1.2104266,0.9707243,1.334477,1.2569331,1.0935128,0.36001214,1.6786371,12488,5.737365954151211
12492,67.0,-0.36801636,1.0460658,0.6145612,0.4211075,0.552237,-0.30858102,1.1546594,0.4656415,-0.48074847,-0.3773399,-0.65003586,1.6651112,0.3358587,-0.002958559,0.35803378,-0.15690687,0.34866062,0.13405855,-0.058494117,12492,4.061572634631882
12493,67.0,-1.0577066,-0.00457938,1.544407,1.1751311,-0.13676883,-0.03250596,1.2036465,0.4603985,-1.0053757,-0.4593739,-0.862552,1.881443,0.2420484,-0.16075876,-0.09534638,-0.71207243,-1.5691904,-0.16482228,-0.48861718,12493,2.2644473576756887
12498,108.0,1.1617299,1.3880458,0.49965087,0.9446813,1.2336674,0.9770333,0.17874102,1.2469819,0.8592055,0.20256622,0.7571518,0.47844702,1.031457,1.0050492,1.249342,0.6890516,0.9200464,0.28609294,1.549365,12498,7.648664501127863
