roi_id,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,FDOPA,GABAa-bz,M1,MU,NAT,NMDA,VAChT,mGluR5
52.0,27.622303,17.750242,1.9472795,0.08700146,0.41729155,2.1411707,10.116971,1.2669815,11.149,0.8339707,24.542322,31.213806,430.3854,3.8811617,10.107115,6.30111,6.3449435,10.405001,2.1880517
53.0,18.03949,17.918089,7.738418,0.34796643,0.241026,2.3697622,9.685307,1.0973734,9.406,0.3970893,28.21468,31.959917,257.85483,2.2444549,4.513314,6.227758,6.551919,13.342673,2.0181623
54.0,10.17182,9.969362,3.6080494,0.11784427,0.19199759,0.48632872,9.964441,1.2729942,-0.003,0.4043344,21.481007,19.03482,473.6333,2.885777,5.1796675,6.6862364,5.735636,10.667104,1.8948191
55.0,19.510483,16.055712,5.836583,0.22816317,0.2667572,1.1093478,9.734363,1.2047687,5.78,0.40139723,19.995302,30.512642,440.66553,2.8529375,9.253721,8.8565035,6.345695,12.077721,2.0381453
56.0,12.582782,0.4585297,18.26028,0.7429223,0.38933042,0.78276837,11.7611065,1.4608238,-0.003,0.7065886,22.968237,19.401882,335.84613,4.2483797,3.3950934,3.1536782,3.139781,9.545767,2.0037193
57.0,37.339397,22.282684,0.0,0.0,0.44688493,8.035788,10.922738,1.494601,20.454,0.9390451,30.978853,38.003716,469.22623,4.1276765,20.011631,7.19871,7.0974245,15.738922,2.722409
58.0,28.302864,14.80012,0.0,0.0,0.35037103,7.396161,10.755171,1.437057,18.397001,0.8812076,31.530468,36.283768,212.70348,3.478584,15.93028,2.0303,6.8859015,14.859624,2.4247887
59.0,37.40654,25.007412,0.0,0.0,0.484972,7.099274,10.839968,1.5357007,20.654,1.0816152,31.123615,39.50493,280.20782,3.942936,22.517666,7.4570775,7.3540273,15.45985,2.6962543
60.0,25.101475,20.220627,0.2668115,0.34397125,0.4419712,4.547353,11.3109865,1.3423026,15.8995,0.91902393,30.9819,37.551254,361.9309,3.4884982,17.845636,7.986252,7.403661,13.148226,2.5775614
61.0,44.064148,22.020248,29.180504,1.165554,0.60198236,8.123972,10.190676,1.5338438,24.3605,1.0977585,31.004757,43.046707,633.44464,4.422349,21.152355,6.6692047,7.4567432,12.114082,2.9064567
