,ext_pet_vox_pls_0,domain
1861,-1.1157416165118972,autobiographical memory
1862,-1.8162979859392188,autobiographical memory
1863,0.7406990698335083,autobiographical memory
1864,-0.3738394935171676,autobiographical memory
1865,0.6809876605654915,autobiographical memory
1866,0.942830432021945,autobiographical memory
1867,1.2691911837477128,autobiographical memory
1868,1.546122473776642,autobiographical memory
1869,1.6265444298843812,autobiographical memory
1870,1.6914410418912007,autobiographical memory
1871,-0.45261593163840097,autobiographical memory
1872,-1.6437592518040782,autobiographical memory
1873,-2.2652864757504316,autobiographical memory
1874,-2.0759723381975514,autobiographical memory
1875,-3.3915146325149537,autobiographical memory
1876,-2.4687169853679896,autobiographical memory
1877,-2.201877880803704,autobiographical memory
1878,-3.9525703587704464,autobiographical memory
1879,-6.988569148331242,autobiographical memory
1880,-6.4291140083026495,autobiographical memory
1881,-5.211813219485056,autobiographical memory
1882,-4.009878254814403,autobiographical memory
1883,-0.6511060764090948,autobiographical memory
1884,-3.070568857835873,autobiographical memory
1885,-2.5181435690504066,autobiographical memory
1886,-3.838324885201551,autobiographical memory
1887,-3.355423635680233,autobiographical memory
1888,-4.756066516590723,autobiographical memory
1889,-4.3889758420809635,autobiographical memory
1890,-6.352309898303063,autobiographical memory
1891,-5.829589930644735,autobiographical memory
1892,-6.510504313563133,autobiographical memory
1893,5.127193710898672,reading
1894,6.028668309567132,reading
1895,5.976372598555612,reading
1896,3.063079380350283,reading
1897,1.6487655129433385,inhibition
1898,-6.465886376685148,inhibition
1899,-0.23940000419947424,inhibition
1900,1.6183338449178992,inhibition
1901,2.610132522591517,inhibition
1902,2.935886083140776,inhibition
1903,4.454662977444248,inhibition
1904,2.804047129120945,inhibition
1905,5.414643217207522,inhibition
1906,4.654826184455605,inhibition
1907,1.79045165869823,inhibition
1908,4.431805826218071,inhibition
1909,5.036542702848828,inhibition
1910,3.607793052809007,inhibition
1911,0.5319001981572692,inhibition
1912,-2.1823255430256774,inhibition
1913,-0.4803004534694677,inhibition
1914,1.814644254656626,inhibition
1915,3.0910899686341335,inhibition
1916,1.4300191888039513,inhibition
1917,4.022144653509513,inhibition
1918,2.012253419770131,inhibition
1919,2.7358499361469653,inhibition
1920,-0.0009430489390769713,inhibition
1921,5.436465491564427,inhibition
1922,5.3364910492362405,inhibition
1923,4.442925661442889,inhibition
1924,1.6349517840511711,inhibition
1925,0.9379908351108173,inhibition
1926,-2.7812884065678682,inhibition
1927,1.0062207801763479,inhibition
1928,1.0614925294332613,inhibition
1929,0.24604128280988521,inhibition
1930,0.11489570866733358,inhibition
1931,-0.11501050033403182,inhibition
1932,1.621014648569114,inhibition
1933,0.7852152843287793,inhibition
1934,6.216036045211877,inhibition
1935,4.270143109610061,inhibition
1936,3.749378473903992,inhibition
1937,3.2741901578575825,inhibition
1938,0.5990314055712005,inhibition
1939,2.6231615312842913,inhibition
1940,3.8189993079250457,inhibition
1941,3.567332492151507,inhibition
1942,3.983799444192386,inhibition
1943,3.703573054742157,inhibition
1944,-1.7892510380505489,inhibition
1945,1.1657435327635866,inhibition
1946,3.6547027545399247,inhibition
1947,4.759925114654486,inhibition
1948,3.940370074826859,inhibition
1949,3.6963736705673758,inhibition
1950,0.6431768478509786,inhibition
1951,4.498607356230966,inhibition
1952,5.062075300731733,inhibition
1953,4.577246499389303,inhibition
1954,-0.3397508554784976,inhibition
1955,2.743704919443252,inhibition
1956,4.024477508986777,inhibition
1957,4.569460838131322,inhibition
1958,1.7793054694898292,inhibition
1959,4.364687587418544,inhibition
1960,3.846507615097762,inhibition
1961,3.548196533862409,inhibition
1962,1.6008284025634265,inhibition
1963,3.064726542677063,inhibition
1964,3.546768923493644,inhibition
1965,3.722517527667014,inhibition
1966,3.3147844156429813,inhibition
1967,1.858040541941185,inhibition
1968,1.2581834435050419,inhibition
1969,4.403147697554251,inhibition
1970,-3.647805102416097,inhibition
1971,-0.2562728733652688,inhibition
1972,4.45155272671601,inhibition
1973,-1.139380447639843,inhibition
1974,1.9557301282562916,inhibition
1975,4.9788278808270885,inhibition
1976,3.669185356798676,inhibition
1977,-5.51276856879943,inhibition
1978,0.9550184186586556,inhibition
1979,4.818870901812211,inhibition
1980,5.22948546257691,inhibition
1981,5.07208766202029,inhibition
1982,2.609919145957174,inhibition
1983,4.953799969410599,inhibition
1984,4.797524823612566,inhibition
1985,-0.5663009621083115,inhibition
1986,2.0659136952754444,inhibition
1987,4.075228494186678,inhibition
1988,3.619051002596018,inhibition
1989,1.8028210464714205,inhibition
1990,3.667563788287424,inhibition
1991,4.243604784674002,inhibition
1992,4.182393726681451,inhibition
1993,2.0422179959609283,inhibition
1994,2.8493044534192062,inhibition
1995,2.8034315863097903,inhibition
1996,3.651353944602823,inhibition
1997,2.2257631920920544,inhibition
1998,3.7832537673522837,inhibition
1999,3.408522164061071,inhibition
2000,4.628321663790092,inhibition
2001,1.7949324564295446,inhibition
2002,2.2706817210062886,inhibition
2003,2.0826339761565085,inhibition
2004,1.3085796273660544,inhibition
2005,2.5740949473278967,inhibition
2006,5.201566679031802,inhibition
2007,3.1752034381128325,inhibition
2008,5.87751530280029,inhibition
2009,6.744652552743928,inhibition
2010,0.9964202126999065,inhibition
2011,1.5336277725311844,inhibition
2012,2.618586038111617,inhibition
2013,1.9836384388822546,inhibition
2014,0.3084981405164305,inhibition
2015,-0.20893548718655722,inhibition
2016,1.4620662415499552,inhibition
2017,1.0051198248548152,inhibition
2018,1.7989357707950462,inhibition
2019,4.62700747475358,inhibition
2020,-0.06375111456803707,inhibition
2021,-1.638414758625095,inhibition
2022,-3.3988849124959772,inhibition
2023,-1.8195568575288965,inhibition
2024,0.33649247976392915,inhibition
2025,1.535831039483839,inhibition
2026,2.333427433970299,inhibition
2027,6.68078747551333,inhibition
2028,7.007361142717329,inhibition
2029,6.940382225187803,inhibition
2030,7.262939534150567,inhibition
2031,-0.25681120308218064,inhibition
2032,-0.5560032299259942,inhibition
2033,-3.563725480790501,motor
2034,-5.044994608175693,motor
2035,-4.7164989376812025,motor
2036,-2.591466262049768,motor
2037,-5.4330983485551805,motor
2038,-3.8291483473161327,motor
2039,-0.8530502013520055,motor
2040,-3.193833815580345,motor
2041,1.5964052701866565,motor
2042,1.8458529369073042,motor
2043,-1.1103687966148397,motor
2044,1.7672695241329726,motor
2045,2.1395049272253086,motor
2046,2.244694523180742,motor
2047,-3.9492860826681744,motor
2048,-4.562532634867588,motor
2049,2.9226472999959774,motor
2050,-3.96346825589114,motor
2051,-6.39750432694534,motor
2052,-1.934095297353427,motor
2053,-3.284966786535547,motor
2054,0.035253514655351405,motor
2055,-0.06098629421435735,motor
2056,0.3560726261005585,motor
2057,-1.046963671089574,motor
2058,-4.456899884356653,motor
2059,0.20069748702541454,motor
2060,-0.5862467367321185,motor
2061,-6.802268552098697,motor
2062,4.8119853848223935,motor
2063,-6.3615645377843055,motor
2064,-3.6787645245746066,motor
2065,-3.5051369421864202,motor
2066,-0.7225139223274537,motor
2067,-2.1381844826332315,motor
2068,-8.602268833795124,motor
2069,-1.9886045851703995,motor
2070,-1.9317576218502348,motor
2071,-2.1640908056645207,motor
2072,-6.427702260074221,motor
2073,-3.612410739571445,motor
2074,-7.5294087255686275,motor
2075,-1.2271789048071442,motor
2076,-1.4319022355931537,motor
2077,-1.0919417111604477,motor
2078,-0.5345243446548344,motor
2079,-0.8915116161711066,motor
2080,-3.2345511083759435,motor
2081,-3.5571907128449145,motor
2082,-1.3670487599420953,motor
2083,0.07305699982474159,motor
2084,-1.7169194949761744,motor
2085,0.17989480099118046,motor
2086,-1.3822282482801853,motor
2087,-0.4130622224943489,motor
2088,-1.6495915063851703,motor
2089,-0.8022995785662679,motor
2090,-0.10468181166695009,motor
2091,-0.7994802268472633,motor
2092,-0.7771383971432768,motor
2093,-0.8064792789236951,motor
2094,0.08298747373011643,motor
2095,-0.27800642913204326,motor
2096,-0.8808074457108148,motor
2097,-0.4057127189796961,motor
2098,0.7563667471957305,motor
2099,-0.29012063002163485,motor
2100,-0.7198123021956438,motor
2101,-2.0955165249565972,motor
2102,-2.832100851885794,motor
2103,-0.03268151392139464,motor
2104,-1.4798818744108901,motor
2105,-2.000329001917239,motor
2106,-0.3205998935323514,motor
2107,1.0080417297554216,motor
2108,-1.9827741364912808,motor
2109,-3.3314991207126847,motor
2110,0.8397423648541051,motor
2111,-0.4702718848902319,motor
2112,-0.35637649904170837,motor
2113,0.918267116638558,motor
2114,-1.789242413514456,motor
2115,-3.714359276022519,motor
2116,0.26503099812112424,motor
2117,-0.9268527191852165,motor
2118,-1.4952515713261756,motor
2119,0.8164196184448201,motor
2120,-0.4353784488106289,motor
2121,0.8319096796462231,motor
2122,-0.37142166122318715,motor
2123,-2.753523643607704,motor
2124,2.2341899633206634,motor
2125,1.1014924418311491,motor
2126,1.493658035436281,motor
2127,2.1136580885786254,motor
2128,2.4481737248862583,motor
2129,1.309145295071352,motor
2130,2.0434228985182723,motor
2131,1.8299771433331224,motor
2132,0.4897998110823646,motor
2133,-2.061423020535598,motor
2134,-2.3528368317633546,motor
2135,-1.2705654458668827,motor
2136,-2.0727466837569253,motor
2137,-3.4249392920859503,motor
2138,-5.811911281441388,motor
2139,1.8867581689703943,motor
2140,0.8769737538030155,motor
2141,1.720394197998326,motor
2142,2.0062181755592894,motor
2143,-2.1714250133664748,motor
2144,1.3181235719900013,motor
2145,1.915760647933987,motor
2146,0.4276138848835926,motor
2147,-1.0472487011882492,motor
2148,1.858040541941185,motor
2149,-1.8108345149246474,motor
2150,-2.894539080753072,motor
2151,-0.4300846519678885,motor
2152,-1.8648731552884752,motor
2153,0.5575384810218227,motor
2154,0.3223854727480197,motor
2155,-1.2282633384781243,motor
2156,-3.458522054480437,motor
2157,-0.6232822262201904,motor
2158,0.2966515489907532,motor
2159,0.7755913242278525,motor
2160,0.8771413788909279,motor
2161,1.2567253073580538,motor
2162,1.1755143121072835,motor
2163,0.26847248182624345,motor
2164,-0.27673834829894906,motor
2165,-1.174215981612241,motor
2166,-3.538220351560881,motor
2167,0.7935392947135375,motor
2168,0.208365244461896,motor
2169,0.2948701067326694,motor
2170,1.2150173983493129,motor
2171,1.3329327362328114,motor
2172,1.4057065989707673,motor
2173,1.5607911477365448,motor
2174,1.4338651267865572,motor
2175,1.8728524417975665,motor
2176,1.6920792398108015,motor
2177,1.432329330119637,motor
2178,1.3410676259571743,motor
2179,-3.0543981894942016,motor
2180,2.774044603197115,motor
2181,2.5478697104946617,motor
2182,2.0145119552690094,motor
2183,-0.40977809770130447,motor
2184,0.15246606625070525,motor
2185,-1.8058271824380734,motor
2186,-0.2794279005117117,motor
2187,-3.782407600469742,motor
2188,-4.502346415751762,motor
2189,-0.21614976120970794,motor
2190,0.07708215618490612,motor
2191,-1.4459649623945838,motor
2192,-3.4269405860520257,motor
2193,0.9452164064282119,motor
2194,1.2385039758329046,motor
2195,0.2617491106442311,motor
2196,0.10663779340231153,motor
2197,-1.47403198255519,motor
2198,1.1023761713652331,motor
2199,0.1357570880654194,motor
2200,-0.7992738581656968,motor
2201,-0.7343421532794216,motor
2202,-1.144895495373386,motor
2203,-0.9035263001043607,motor
2204,0.28020743126631753,motor
2205,-2.3854543651539064,motor
2206,-3.4384950912802568,motor
2207,-3.7445579422699935,motor
2208,-3.6173141602089043,motor
2209,-0.5357920492758274,motor
2210,-0.7736287369360034,motor
2211,-1.177890820152663,motor
2212,-1.0350882257788576,motor
2213,0.2764222199088952,motor
2214,-1.1554694397367506,motor
2215,-3.275460086525325,motor
2216,-2.6551858764093748,motor
2217,-8.071326861104625,motor
2218,-1.024335372082086,motor
2219,-1.2944369245850682,motor
2220,-1.0796465654334497,motor
2221,-4.077679821906954,motor
2222,-0.03376932348685334,motor
2223,-2.2148163689911464,motor
2224,-3.1015194793104626,motor
2225,-5.999837950435338,motor
2226,1.061955419185381,motor
2227,-4.54265527455449,motor
2228,-1.5909306180192242,motor
2229,0.8010156585590573,motor
2230,0.046867810499388346,motor
2231,-3.763647052965545,motor
2232,-7.692544095866322,motor
2233,-7.928277768433931,motor
2234,-7.886301237712655,motor
